MunicipioNome | MunicipioCodigo | Ano | ICV
Abre Campo | 3100302 | 2015 | 98.02476778656127
Abre Campo | 3100302 | 2016 | 75.0
Abre Campo | 3100302 | 2017 | 100.0
Abre Campo | 3100302 | 2018 | 100.0
Abre Campo | 3100302 | 2019 | 92.52455497382199
Abre Campo | 3100302 | 2020 | 93.87171822742475
Aguanil | 3100807 | 2015 | 100.0
Aguanil | 3100807 | 2016 | 100.0
Aguanil | 3100807 | 2017 | 91.47478448275862
Aguanil | 3100807 | 2018 | 100.0
Aguanil | 3100807 | 2019 | 100.0
Aguanil | 3100807 | 2020 | 75.0
Águas Formosas | 3100906 | 2015 | 100.0
Águas Formosas | 3100906 | 2016 | 100.0
Águas Formosas | 3100906 | 2017 | 92.796875
Águas Formosas | 3100906 | 2018 | 100.0
Águas Formosas | 3100906 | 2019 | 95.37535153328346
Águas Formosas | 3100906 | 2020 | 64.86438545150502
Águas Vermelhas | 3101003 | 2015 | 89.02180335968379
Águas Vermelhas | 3101003 | 2016 | 100.0
Águas Vermelhas | 3101003 | 2017 | 75.0
Águas Vermelhas | 3101003 | 2018 | 82.34696428571428
Águas Vermelhas | 3101003 | 2019 | 98.41721952131638
Águas Vermelhas | 3101003 | 2020 | 92.92247909698997
Aiuruoca | 3101201 | 2015 | 100.0
Aiuruoca | 3101201 | 2016 | 100.0
Aiuruoca | 3101201 | 2017 | 100.0
Aiuruoca | 3101201 | 2018 | 100.0
Aiuruoca | 3101201 | 2019 | 100.0
Aiuruoca | 3101201 | 2020 | 100.0
Albertina | 3101409 | 2015 | 95.2833300395257
Albertina | 3101409 | 2016 | 100.0
Albertina | 3101409 | 2017 | 100.0
Albertina | 3101409 | 2018 | 100.0
Albertina | 3101409 | 2019 | 98.21493268511593
Albertina | 3101409 | 2020 | 100.0
Alfredo Vasconcelos | 3101631 | 2015 | 100.0
Alfredo Vasconcelos | 3101631 | 2016 | 100.0
Alfredo Vasconcelos | 3101631 | 2017 | 100.0
Alfredo Vasconcelos | 3101631 | 2018 | 100.0
Alfredo Vasconcelos | 3101631 | 2019 | 100.0
Alfredo Vasconcelos | 3101631 | 2020 | 100.0
Alto Caparaó | 3102050 | 2015 | 100.0
Alto Caparaó | 3102050 | 2016 | 100.0
Alto Caparaó | 3102050 | 2017 | 100.0
Alto Caparaó | 3102050 | 2018 | 100.0
Alto Caparaó | 3102050 | 2019 | 100.0
Alto Caparaó | 3102050 | 2020 | 100.0
Amparo do Serra | 3102506 | 2015 | 87.5
Amparo do Serra | 3102506 | 2016 | 85.6267599805258
Amparo do Serra | 3102506 | 2017 | 87.5
Amparo do Serra | 3102506 | 2018 | 87.5
Amparo do Serra | 3102506 | 2019 | 100.0
Amparo do Serra | 3102506 | 2020 | 75.0
Andrelândia | 3102803 | 2015 | 100.0
Andrelândia | 3102803 | 2016 | 100.0
Andrelândia | 3102803 | 2017 | 100.0
Andrelândia | 3102803 | 2018 | 100.0
Andrelândia | 3102803 | 2019 | 100.0
Andrelândia | 3102803 | 2020 | 100.0
Aricanduva | 3104452 | 2015 | 75.0
Aricanduva | 3104452 | 2016 | 81.25
Aricanduva | 3104452 | 2017 | 100.0
Aricanduva | 3104452 | 2018 | 100.0
Aricanduva | 3104452 | 2019 | 96.91612191473448
Aricanduva | 3104452 | 2020 | 97.70170150501673
Arinos | 3104502 | 2015 | 75.0
Arinos | 3104502 | 2016 | 94.99657497565725
Arinos | 3104502 | 2017 | 73.03627155172413
Arinos | 3104502 | 2018 | 62.5
Arinos | 3104502 | 2019 | 79.44659685863874
Arinos | 3104502 | 2020 | 25.0
Ataléia | 3104700 | 2015 | 100.0
Ataléia | 3104700 | 2016 | 73.92209591041869
Ataléia | 3104700 | 2017 | 75.34127155172413
Ataléia | 3104700 | 2018 | 100.0
Ataléia | 3104700 | 2019 | 100.0
Ataléia | 3104700 | 2020 | 100.0
