MunicipioNome | MunicipioCodigo | Ano | IES
Erros | 3100302 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2015 | ?
Erros | 3100302 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2016 | ?
Erros | 3100302 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2017 | ?
Erros | 3100302 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2018 | ?
Erros | 3100302 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2019 | ?
Erros | 3100302 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Abre Campo | 3100302 | 2020 | ?
Erros | 3100807 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2015 | ?
Erros | 3100807 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2016 | ?
Erros | 3100807 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2017 | ?
Erros | 3100807 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2018 | ?
Erros | 3100807 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2019 | ?
Erros | 3100807 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aguanil | 3100807 | 2020 | ?
Erros | 3100906 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2015 | ?
Erros | 3100906 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2016 | ?
Erros | 3100906 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2017 | ?
Erros | 3100906 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2018 | ?
Erros | 3100906 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2019 | ?
Erros | 3100906 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Formosas | 3100906 | 2020 | ?
Erros | 3101003 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2015 | ?
Erros | 3101003 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2016 | ?
Erros | 3101003 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2017 | ?
Erros | 3101003 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2018 | ?
Erros | 3101003 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2019 | ?
Erros | 3101003 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Águas Vermelhas | 3101003 | 2020 | ?
Erros | 3101201 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2015 | ?
Erros | 3101201 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2016 | ?
Erros | 3101201 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2017 | ?
Erros | 3101201 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2018 | ?
Erros | 3101201 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2019 | ?
Erros | 3101201 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Aiuruoca | 3101201 | 2020 | ?
Erros | 3101409 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2015 | ?
Erros | 3101409 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2016 | ?
Erros | 3101409 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2017 | ?
Erros | 3101409 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2018 | ?
Erros | 3101409 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2019 | ?
Erros | 3101409 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Albertina | 3101409 | 2020 | ?
Erros | 3101631 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2015 | ?
Erros | 3101631 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2016 | ?
Erros | 3101631 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2017 | ?
Erros | 3101631 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2018 | ?
Erros | 3101631 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2019 | ?
Erros | 3101631 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alfredo Vasconcelos | 3101631 | 2020 | ?
Erros | 3102050 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2015 | ?
Erros | 3102050 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2016 | ?
Erros | 3102050 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2017 | ?
Erros | 3102050 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2018 | ?
Erros | 3102050 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2019 | ?
Erros | 3102050 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Alto Caparaó | 3102050 | 2020 | ?
Erros | 3102506 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2015 | ?
Erros | 3102506 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2016 | ?
Erros | 3102506 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2017 | ?
Erros | 3102506 | 2018 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2018 | ?
Erros | 3102506 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2019 | ?
Erros | 3102506 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Amparo do Serra | 3102506 | 2020 | ?
Erros | 3102803 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2015 | ?
Erros | 3102803 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2016 | ?
Erros | 3102803 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2017 | ?
Erros | 3102803 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2018 | ?
Erros | 3102803 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2019 | ?
Erros | 3102803 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Andrelândia | 3102803 | 2020 | ?
Erros | 3104452 | 2015 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2015 | ?
Erros | 3104452 | 2016 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2016 | ?
Erros | 3104452 | 2017 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2017 | ?
Erros | 3104452 | 2018 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2018 | ?
Erros | 3104452 | 2019 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2019 | ?
Erros | 3104452 | 2020 | [snisModel.ES005, snisModel.ES006]
Aricanduva | 3104452 | 2020 | ?
Erros | 3104502 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2015 | ?
Erros | 3104502 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2016 | ?
Erros | 3104502 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2017 | ?
Erros | 3104502 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2018 | ?
Erros | 3104502 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2019 | ?
Erros | 3104502 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Arinos | 3104502 | 2020 | ?
Erros | 3104700 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2015 | ?
Erros | 3104700 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2016 | ?
Erros | 3104700 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2017 | ?
Erros | 3104700 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2018 | ?
Erros | 3104700 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2019 | ?
Erros | 3104700 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Ataléia | 3104700 | 2020 | ?
Erros | 3105202 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2015 | ?
Erros | 3105202 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2016 | ?
Erros | 3105202 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2017 | ?
Erros | 3105202 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2018 | ?
Erros | 3105202 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2019 | ?
Erros | 3105202 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira | 3105202 | 2020 | ?
Erros | 3105301 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2015 | ?
Erros | 3105301 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2016 | ?
Erros | 3105301 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2017 | ?
Erros | 3105301 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2018 | ?
Erros | 3105301 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2019 | ?
Erros | 3105301 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bandeira do Sul | 3105301 | 2020 | ?
Erros | 3106606 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2015 | ?
Erros | 3106606 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2016 | ?
Erros | 3106606 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2017 | ?
Erros | 3106606 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2018 | ?
Erros | 3106606 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2019 | ?
Erros | 3106606 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bertópolis | 3106606 | 2020 | ?
Erros | 3106804 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2015 | ?
Erros | 3106804 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2016 | ?
Erros | 3106804 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2017 | ?
Erros | 3106804 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2018 | ?
Erros | 3106804 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2019 | ?
Erros | 3106804 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bias Fortes | 3106804 | 2020 | ?
Erros | 3107208 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2015 | ?
Erros | 3107208 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2016 | ?
Erros | 3107208 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2017 | ?
Erros | 3107208 | 2018 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2018 | ?
Erros | 3107208 | 2019 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2019 | ?
Erros | 3107208 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bocaina de Minas | 3107208 | 2020 | ?
Erros | 3107604 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bom Jesus da Penha | 3107604 | 2015 | ?
Erros | 3107604 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bom Jesus da Penha | 3107604 | 2016 | ?
Erros | 3107604 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bom Jesus da Penha | 3107604 | 2017 | ?
Erros | 3107604 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Bom Jesus da Penha | 3107604 | 2018 | ?
