MunicipioNome | MunicipioCodigo | Ano | IRH
Abre Campo | 3100302 | 2015 | 79.97
Abre Campo | 3100302 | 2016 | 78.825
Abre Campo | 3100302 | 2017 | 78.66
Abre Campo | 3100302 | 2018 | 78.57
Abre Campo | 3100302 | 2019 | 79.215
Abre Campo | 3100302 | 2020 | 78.545
Aguanil | 3100807 | 2015 | 78.405
Aguanil | 3100807 | 2016 | 77.3
Aguanil | 3100807 | 2017 | 27.875
Aguanil | 3100807 | 2018 | 78.08500000000001
Aguanil | 3100807 | 2019 | 77.525
Aguanil | 3100807 | 2020 | 77.03
Águas Formosas | 3100906 | 2015 | 80.475
Águas Formosas | 3100906 | 2016 | 79.41
Águas Formosas | 3100906 | 2017 | 77.85
Águas Formosas | 3100906 | 2018 | 78.565
Águas Formosas | 3100906 | 2019 | 78.81
Águas Formosas | 3100906 | 2020 | 79.24
Águas Vermelhas | 3101003 | 2015 | 79.985
Águas Vermelhas | 3101003 | 2016 | 78.405
Águas Vermelhas | 3101003 | 2017 | 78.985
Águas Vermelhas | 3101003 | 2018 | 76.61
Águas Vermelhas | 3101003 | 2019 | 78.38
Águas Vermelhas | 3101003 | 2020 | 79.055
Aiuruoca | 3101201 | 2015 | 78.405
Aiuruoca | 3101201 | 2016 | 30.445
Aiuruoca | 3101201 | 2017 | 79.475
Aiuruoca | 3101201 | 2018 | 79.655
Aiuruoca | 3101201 | 2019 | 79.18
Aiuruoca | 3101201 | 2020 | 78.545
Albertina | 3101409 | 2015 | 78.405
Albertina | 3101409 | 2016 | 77.26
Albertina | 3101409 | 2017 | 77.325
Albertina | 3101409 | 2018 | 76.97
Albertina | 3101409 | 2019 | 77.19
Albertina | 3101409 | 2020 | 76.14
Alfredo Vasconcelos | 3101631 | 2015 | 78.405
Alfredo Vasconcelos | 3101631 | 2016 | 79.255
Alfredo Vasconcelos | 3101631 | 2017 | 77.625
Alfredo Vasconcelos | 3101631 | 2018 | 78.41
Alfredo Vasconcelos | 3101631 | 2019 | 78.24
Alfredo Vasconcelos | 3101631 | 2020 | 77.345
Alto Caparaó | 3102050 | 2015 | 76.96000000000001
Alto Caparaó | 3102050 | 2016 | 27.66
Alto Caparaó | 3102050 | 2017 | 78.185
Alto Caparaó | 3102050 | 2018 | 77.08500000000001
Alto Caparaó | 3102050 | 2019 | 26.435
Alto Caparaó | 3102050 | 2020 | 76.61
Amparo do Serra | 3102506 | 2015 | 79.97
Amparo do Serra | 3102506 | 2016 | 78.825
Amparo do Serra | 3102506 | 2017 | 78.66
Amparo do Serra | 3102506 | 2018 | 78.57
Amparo do Serra | 3102506 | 2019 | 79.215
Amparo do Serra | 3102506 | 2020 | 78.545
Andrelândia | 3102803 | 2015 | 78.405
Andrelândia | 3102803 | 2016 | 80.445
Andrelândia | 3102803 | 2017 | 79.475
Andrelândia | 3102803 | 2018 | 79.655
Andrelândia | 3102803 | 2019 | 79.18
Andrelândia | 3102803 | 2020 | 78.545
Aricanduva | 3104452 | 2015 | 80.65
Aricanduva | 3104452 | 2016 | 79.27
Aricanduva | 3104452 | 2017 | 79.48
Aricanduva | 3104452 | 2018 | 79.64
Aricanduva | 3104452 | 2019 | 78.51
Aricanduva | 3104452 | 2020 | 78.31
Arinos | 3104502 | 2015 | 80.025
Arinos | 3104502 | 2016 | 80.145
Arinos | 3104502 | 2017 | 79.685
Arinos | 3104502 | 2018 | 79.255
Arinos | 3104502 | 2019 | 80.525
Arinos | 3104502 | 2020 | 80.095
