MunicipioNome | MunicipioCodigo | Ano | IRS
Abre Campo | 3100302 | 2015 | 16.436666666666667
Abre Campo | 3100302 | 2016 | 26.636666666666667
Abre Campo | 3100302 | 2017 | 26.623333333333335
Abre Campo | 3100302 | 2018 | 27.156666666666666
Abre Campo | 3100302 | 2019 | 27.176666666666666
Abre Campo | 3100302 | 2020 | 27.19666666666667
Aguanil | 3100807 | 2015 | 33.333333333333336
Aguanil | 3100807 | 2016 | 33.333333333333336
Aguanil | 3100807 | 2017 | 33.333333333333336
Aguanil | 3100807 | 2018 | 33.333333333333336
Aguanil | 3100807 | 2019 | ?
Aguanil | 3100807 | 2020 | ?
Águas Formosas | 3100906 | 2015 | 33.333333333333336
Águas Formosas | 3100906 | 2016 | ?
Águas Formosas | 3100906 | 2017 | ?
Águas Formosas | 3100906 | 2018 | 29.180000000000003
Águas Formosas | 3100906 | 2019 | 31.356666666666666
Águas Formosas | 3100906 | 2020 | 31.293333333333333
Águas Vermelhas | 3101003 | 2015 | 33.15333333333333
Águas Vermelhas | 3101003 | 2016 | 33.333333333333336
Águas Vermelhas | 3101003 | 2017 | 4.736666666666667
Águas Vermelhas | 3101003 | 2018 | ?
Águas Vermelhas | 3101003 | 2019 | 29.426666666666666
Águas Vermelhas | 3101003 | 2020 | 29.296666666666667
Aiuruoca | 3101201 | 2015 | ?
Aiuruoca | 3101201 | 2016 | ?
Aiuruoca | 3101201 | 2017 | ?
Aiuruoca | 3101201 | 2018 | ?
Aiuruoca | 3101201 | 2019 | ?
Aiuruoca | 3101201 | 2020 | ?
Albertina | 3101409 | 2015 | 33.236666666666665
Albertina | 3101409 | 2016 | ?
Albertina | 3101409 | 2017 | ?
Albertina | 3101409 | 2018 | ?
Albertina | 3101409 | 2019 | ?
Albertina | 3101409 | 2020 | ?
Alfredo Vasconcelos | 3101631 | 2015 | ?
Alfredo Vasconcelos | 3101631 | 2016 | ?
Alfredo Vasconcelos | 3101631 | 2017 | ?
Alfredo Vasconcelos | 3101631 | 2018 | ?
Alfredo Vasconcelos | 3101631 | 2019 | ?
Alfredo Vasconcelos | 3101631 | 2020 | ?
Alto Caparaó | 3102050 | 2015 | 33.333333333333336
Alto Caparaó | 3102050 | 2016 | 33.06333333333333
Alto Caparaó | 3102050 | 2017 | 32.81666666666667
Alto Caparaó | 3102050 | 2018 | 32.77333333333333
Alto Caparaó | 3102050 | 2019 | 32.50333333333334
Alto Caparaó | 3102050 | 2020 | 33.333333333333336
Amparo do Serra | 3102506 | 2015 | ?
Amparo do Serra | 3102506 | 2016 | ?
Amparo do Serra | 3102506 | 2017 | ?
Amparo do Serra | 3102506 | 2018 | ?
Amparo do Serra | 3102506 | 2019 | ?
Amparo do Serra | 3102506 | 2020 | ?
Andrelândia | 3102803 | 2015 | ?
Andrelândia | 3102803 | 2016 | ?
Andrelândia | 3102803 | 2017 | ?
Andrelândia | 3102803 | 2018 | ?
Andrelândia | 3102803 | 2019 | ?
Andrelândia | 3102803 | 2020 | ?
Aricanduva | 3104452 | 2015 | 33.333333333333336
Aricanduva | 3104452 | 2016 | 33.333333333333336
Aricanduva | 3104452 | 2017 | 33.333333333333336
Aricanduva | 3104452 | 2018 | 33.333333333333336
Aricanduva | 3104452 | 2019 | 33.333333333333336
Aricanduva | 3104452 | 2020 | 32.85333333333333
Arinos | 3104502 | 2015 | 32.333333333333336
Arinos | 3104502 | 2016 | 27.38
Arinos | 3104502 | 2017 | 27.363333333333333
Arinos | 3104502 | 2018 | 33.333333333333336
Arinos | 3104502 | 2019 | 32.79666666666667
Arinos | 3104502 | 2020 | 30.69333333333333
Ataléia | 3104700 | 2015 | ?
Ataléia | 3104700 | 2016 | 33.333333333333336
